@relation abalone9_18

@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Shell_weight numeric
@attribute Class {1,0}

@data
0.708333333,0.708860759,0.14159292,0.738365155,0.47418136,0.55964467,0.79226361,1
0.802083333,0.797468354,0.154867257,0.76849642,0.608942065,0.640862944,0.777936963,1
0.78125,0.734177215,0.168141593,0.694212411,0.544080605,0.741116751,0.520057307,1
0.635416667,0.658227848,0.110619469,0.514916468,0.393576826,0.293147208,0.498567335,1
1,1,0.199115044,1,0.762594458,0.829949239,0.79226361,1
0.572916667,0.556962025,0.128318584,0.515513126,0.444584383,0.435279188,0.340974212,1
0.489583333,0.493670886,0.132743363,0.294152745,0.243702771,0.280456853,0.20487106,1
0.489583333,0.430379747,0.115044248,0.360083532,0.16813602,0.299492386,0.255014327,1
0.770833333,0.569620253,0.146017699,0.584427208,0.411209068,0.384517766,0.598853868,1
0.885416667,0.898734177,0.17699115,0.904534606,0.621536524,1,0.799426934,1
0.864583333,0.898734177,0.150442478,0.696300716,0.554785894,0.588832487,0.534383954,1
0.854166667,0.772151899,0.154867257,0.991646778,0.709697733,0.733502538,1,1
0.864583333,0.860759494,0.163716814,0.905131265,0.750629723,0.854060914,0.634670487,1
0.875,0.911392405,0.17699115,0.810560859,0.646725441,0.64213198,0.627507163,1
0.354166667,0.265822785,0.084070796,0.16199284,0.13790932,0.162436548,0.133237822,0
0.4375,0.405063291,0.092920354,0.238365155,0.246221662,0.280456853,0.140401146,0
0.40625,0.405063291,0.092920354,0.26402148,0.258816121,0.26142132,0.169054441,0
0.552083333,0.544303797,0.10619469,0.307279236,0.26070529,0.247461929,0.233524355,0
0.510416667,0.518987342,0.123893805,0.346957041,0.283375315,0.411167513,0.276504298,0
0.395833333,0.392405063,0.10619469,0.216288783,0.202141058,0.208121827,0.154727794,0
0.447916667,0.481012658,0.119469027,0.303997613,0.308564232,0.270304569,0.20487106,0
0.552083333,0.518987342,0.10619469,0.298329356,0.255037783,0.299492386,0.226361032,0
0.458333333,0.405063291,0.10619469,0.238663484,0.255037783,0.223350254,0.154727794,0
0.302083333,0.316455696,0.097345133,0.162887828,0.137279597,0.215736041,0.104584527,0
0.447916667,0.455696203,0.115044248,0.264319809,0.229848866,0.300761421,0.169054441,0
0.3125,0.278481013,0.075221239,0.107696897,0.104534005,0.116751269,0.083094556,0
0.270833333,0.240506329,0.075221239,0.10173031,0.10138539,0.120558376,0.075931232,0
0.354166667,0.341772152,0.101769912,0.19451074,0.166246851,0.171319797,0.155444126,0
0.5625,0.607594937,0.137168142,0.587708831,0.572418136,0.557106599,0.369627507,0
0.125,0.126582278,0.075221239,0.037887828,0.027078086,0.086294416,0.032951289,0
0.208333333,0.202531646,0.075221239,0.08353222,0.076196474,0.118020305,0.176217765,0
0.34375,0.35443038,0.101769912,0.172434368,0.175692695,0.145939086,0.133237822,0
0.375,0.367088608,0.097345133,0.178699284,0.14861461,0.181472081,0.133237822,0
0.40625,0.392405063,0.115044248,0.22673031,0.179471033,0.247461929,0.154727794,0
0.333333333,0.278481013,0.115044248,0.143198091,0.124685139,0.157360406,0.111747851,0
0.09375,0.088607595,0.07079646,0.028341289,0.01511335,0.032994924,0.018624642,0
0.15625,0.151898734,0.075221239,0.05101432,0.039672544,0.064720812,0.047277937,0
0.197916667,0.202531646,0.097345133,0.126789976,0.114609572,0.126903553,0.090974212,0
0.239583333,0.215189873,0.088495575,0.102625298,0.094458438,0.116751269,0.067335244,0
0.21875,0.253164557,0.092920354,0.096062053,0.069269521,0.100253807,0.097421203,0
0.21875,0.215189873,0.079646018,0.086813842,0.071788413,0.067258883,0.09025788,0
0.302083333,0.329113924,0.10619469,0.142303103,0.129093199,0.109137056,0.097421203,0
0.427083333,0.582278481,0.137168142,0.397374702,0.338790932,0.351522843,0.305157593,0
0.25,0.278481013,0.101769912,0.114260143,0.076196474,0.153553299,0.09025788,0
0.739583333,0.759493671,0.163716814,0.640214797,0.635390428,0.703045685,0.312320917,0
0.447916667,0.46835443,0.128318584,0.302207637,0.26070529,0.331218274,0.226361032,0
0.40625,0.405063291,0.101769912,0.238066826,0.227959698,0.230964467,0.176217765,0
0.65625,0.620253165,0.084070796,0.445704057,0.38790932,0.527918782,0.297994269,0
0.072916667,0.075949367,0.061946903,0.012529833,0.005667506,0.025380711,0.011461318,0
0.166666667,0.164556962,0.088495575,0.066825776,0.059193955,0.114213198,0.061604585,0
0.395833333,0.392405063,0.101769912,0.167959427,0.15743073,0.14213198,0.128939828,0
0,0,0.057522124,0,0,0.01142132,0,0
0.385416667,0.367088608,0.092920354,0.169451074,0.146725441,0.170050761,0.12965616,0
