,A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
0,0.55,0.055257,0.189189,0.497937,0.0,0.5,0.125,1.0,0.982456,0
1,0.0,0.02526,0.837838,0.354883,0.642857,0.296875,0.916667,0.445652,0.035088,0
2,0.25,0.027787,0.108108,0.497937,0.375,0.5625,0.333333,0.48913,0.438596,0
3,0.683333,0.026839,0.351351,0.492435,0.446429,0.5625,0.097222,0.51087,0.596491,0
4,0.516667,0.028734,0.864865,0.497937,0.910714,0.484375,0.486111,0.141304,0.070175,0
5,0.0,0.021787,0.135135,0.497937,0.678571,0.5625,0.555556,0.130435,0.0,0
6,0.083333,0.048626,0.054054,0.497937,0.178571,0.5625,0.458333,0.728261,0.54386,0
7,0.6,0.02305,0.351351,0.496561,0.446429,0.5625,0.166667,0.51087,0.561404,0
8,0.116667,0.025576,0.054054,0.497937,0.357143,0.5625,0.416667,0.48913,0.385965,0
9,0.733333,0.028418,0.378378,0.500688,0.446429,0.5625,0.069444,0.51087,0.614035,0
10,0.0,0.025892,0.081081,0.497937,0.464286,0.5625,0.541667,0.369565,0.210526,0
11,0.566667,0.021156,0.351351,0.497937,0.446429,0.5625,0.194444,0.51087,0.54386,0
12,0.0,0.01263,0.0,0.496561,0.607143,0.25,0.486111,0.163043,0.087719,0
13,0.916667,0.024313,0.864865,0.497937,0.982143,0.46875,0.166667,0.065217,0.192982,0
14,0.883333,0.024629,0.864865,0.497937,0.946429,0.125,0.194444,0.086957,0.210526,0
15,0.0,0.005052,0.027027,0.499312,0.696429,0.578125,0.5,0.065217,0.0,0
16,0.266667,0.014209,0.351351,0.497937,0.428571,0.09375,0.444444,0.532609,0.403509,0
17,0.083333,0.027787,0.027027,0.497937,0.75,0.5625,0.430556,0.01087,0.0,0
18,0.533333,0.055889,0.189189,0.497937,0.0,0.484375,0.138889,1.0,0.964912,0
19,0.1,0.026524,0.432432,0.497937,0.392857,0.5625,0.625,0.586957,0.333333,0
20,0.516667,0.058415,0.189189,0.497937,0.0,0.46875,0.138889,1.0,0.964912,0
21,0.866667,0.024629,0.864865,0.497937,0.946429,0.28125,0.208333,0.086957,0.192982,0
22,0.0,0.003473,0.054054,0.497937,0.553571,0.5625,0.513889,0.23913,0.122807,0
23,0.0,0.011999,0.837838,0.496561,0.642857,0.578125,0.916667,0.445652,0.035088,0
24,0.0,0.026839,0.027027,0.497937,0.553571,0.5625,0.5,0.228261,0.122807,0
25,0.116667,0.024945,0.432432,0.497937,0.392857,0.5625,0.611111,0.586957,0.350877,0
26,0.75,0.269656,0.837838,0.49381,0.678571,0.3125,0.291667,0.413043,0.403509,1
27,0.116667,0.02305,0.081081,0.489684,0.375,0.5625,0.430556,0.478261,0.368421,0
28,0.166667,0.023366,0.432432,0.497937,0.392857,0.5625,0.555556,0.586957,0.368421,0
29,0.0,0.018314,0.081081,0.497937,0.464286,0.5625,0.541667,0.369565,0.210526,0
30,0.3,0.362172,0.0,0.49381,0.625,0.96875,0.236111,0.130435,0.210526,1
31,0.1,0.026839,0.054054,0.497937,0.357143,0.5625,0.430556,0.48913,0.385965,0
32,0.216667,0.025576,0.108108,0.497937,0.375,0.5625,0.361111,0.48913,0.421053,0
33,0.0,0.013578,1.0,0.642366,0.678571,0.78125,1.0,0.478261,0.017544,0
34,0.0,0.026524,0.837838,0.497937,0.642857,0.5,0.916667,0.445652,0.035088,0
35,0.066667,0.047679,0.054054,0.497937,0.178571,0.5625,0.472222,0.728261,0.54386,0
36,0.133333,0.027787,0.378378,0.500688,0.428571,0.53125,0.569444,0.543478,0.333333,0
37,0.55,0.021156,0.351351,0.497937,0.446429,0.5625,0.208333,0.51087,0.526316,0
38,0.216667,0.044206,0.108108,0.497937,0.75,0.5625,0.361111,0.032609,0.052632,0
39,0.416667,0.058099,0.189189,0.497937,0.0,0.4375,0.236111,1.0,0.912281,0
40,0.0,0.015156,0.837838,0.497937,0.678571,0.53125,0.916667,0.413043,0.017544,0
41,0.3,0.362172,0.027027,0.497937,0.553571,0.5625,0.236111,0.228261,0.280702,1
42,0.083333,0.025576,0.027027,0.497937,0.75,0.5625,0.430556,0.01087,0.0,0
43,0.0,0.026839,0.027027,0.497937,0.696429,0.5625,0.5,0.065217,0.0,0
44,0.183333,0.021156,0.378378,0.508941,0.428571,0.359375,0.527778,0.543478,0.368421,0
45,0.133333,0.028102,0.378378,0.499312,0.428571,0.53125,0.569444,0.543478,0.333333,0
46,0.583333,0.04389,0.189189,0.497937,0.0,0.546875,0.097222,1.0,1.0,0
47,0.1,0.018945,0.027027,0.497937,0.75,0.5625,0.416667,0.01087,0.0,0
48,0.533333,0.028418,0.864865,0.497937,0.910714,0.4375,0.486111,0.141304,0.070175,0
49,0.0,0.01042,0.054054,0.497937,0.553571,0.5625,0.513889,0.23913,0.122807,0
50,0.233333,0.04389,0.108108,0.497937,0.75,0.5625,0.347222,0.032609,0.070175,0
51,0.55,0.027787,0.864865,0.497937,0.910714,0.359375,0.472222,0.141304,0.070175,0
52,0.166667,0.021787,0.054054,0.497937,0.357143,0.5625,0.375,0.48913,0.421053,0
53,0.133333,0.047363,0.054054,0.497937,0.625,0.5625,0.402778,0.152174,0.122807,0
54,0.7,0.65551,0.189189,0.49381,0.767857,0.484375,0.0,0.043478,0.280702,1
55,0.083333,0.028102,0.081081,0.489684,0.375,0.5625,0.458333,0.478261,0.350877,0
56,0.133333,0.017051,0.054054,0.49381,0.767857,0.5,0.402778,0.0,0.0,0
57,0.983333,0.028734,0.864865,0.497937,0.982143,0.1875,0.111111,0.065217,0.245614,0
58,0.366667,0.015472,0.351351,0.497937,0.446429,0.5625,0.361111,0.51087,0.438596,0
59,0.833333,0.025892,0.864865,0.497937,0.946429,0.421875,0.236111,0.086957,0.175439,0
60,0.116667,0.024629,0.054054,0.497937,0.357143,0.5625,0.416667,0.48913,0.385965,0
61,0.533333,0.028734,0.864865,0.497937,0.910714,0.46875,0.486111,0.141304,0.070175,0
62,0.116667,0.051468,0.054054,0.497937,0.178571,0.5625,0.430556,0.728261,0.561404,0
63,0.783333,0.026208,0.864865,0.497937,0.946429,0.515625,0.263889,0.086957,0.157895,0
64,0.15,0.052416,0.054054,0.497937,0.178571,0.5625,0.388889,0.728261,0.596491,0
65,0.133333,0.051784,0.054054,0.497937,0.178571,0.5625,0.416667,0.728261,0.578947,0
66,0.166667,0.047679,0.054054,0.497937,0.625,0.5625,0.375,0.152174,0.140351,0
67,0.25,0.028734,0.432432,0.497937,0.392857,0.5625,0.486111,0.586957,0.421053,0
68,0.65,0.02305,0.864865,0.497937,0.928571,0.515625,0.375,0.119565,0.105263,0
69,0.483333,0.061572,0.189189,0.497937,0.017857,0.953125,0.180556,0.967391,0.912281,0
70,0.716667,0.02526,0.864865,0.497937,0.928571,0.4375,0.333333,0.119565,0.140351,0
71,0.0,0.023997,0.027027,0.497937,0.696429,0.5625,0.5,0.065217,0.0,0
72,0.0,0.005684,0.837838,0.496561,0.642857,0.578125,0.916667,0.445652,0.035088,0
73,0.233333,0.026839,0.054054,0.497937,0.357143,0.5625,0.319444,0.48913,0.45614,0
74,0.0,0.01263,0.027027,0.497937,0.553571,0.5625,0.5,0.228261,0.122807,0
75,0.0,0.027155,0.837838,0.497937,0.642857,0.5625,0.916667,0.445652,0.035088,0
76,0.133333,0.028734,0.162162,0.497937,0.767857,0.5625,0.458333,0.032609,0.0,0
